warmup jev: ok 879ms
warmup llm: ok 1294ms
r1 s01 expected=reschedule llm=reschedule(950ms) jev=reschedule(418ms)
r1 s02 expected=reschedule jev=reschedule(436ms) llm=reschedule(1371ms)
r1 s03 expected=reschedule llm=reschedule(1095ms) jev=reschedule(316ms)
r1 s04 expected=reschedule jev=reschedule(360ms) llm=reschedule(1301ms)
r1 s05 expected=reschedule llm=reschedule(1401ms) jev=reschedule(439ms)
r1 s06 expected=cancel jev=cancel(332ms) llm=cancel(1002ms)
r1 s07 expected=cancel llm=cancel(1597ms) jev=cancel(329ms)
r1 s08 expected=cancel jev=cancel(408ms) llm=cancel(846ms)
r1 s09 expected=cancel llm=cancel(1433ms) jev=cancel(502ms)
r1 s10 expected=cancel jev=cancel(388ms) llm=cancel(1093ms)
r1 s11 expected=refund llm=refund(1027ms) jev=refund(469ms)
r1 s12 expected=refund jev=refund(411ms) llm=refund(1161ms)
r1 s13 expected=refund llm=refund(1119ms) jev=refund(453ms)
r1 s14 expected=refund jev=refund(388ms) llm=refund(1706ms)
r1 s15 expected=refund llm=refund(1043ms) jev=refund(373ms)
r1 s16 expected=location jev=location(379ms) llm=location(1036ms)
r1 s17 expected=location llm=location(989ms) jev=location(363ms)
r1 s18 expected=location jev=location(358ms) llm=location(1267ms)
r1 s19 expected=location llm=location(1143ms) jev=location(372ms)
r1 s20 expected=location jev=location(329ms) llm=location(840ms)
r1 s21 expected=pricing llm=pricing(1037ms) jev=pricing(416ms)
r1 s22 expected=pricing jev=pricing(362ms) llm=pricing(875ms)
r1 s23 expected=pricing llm=pricing(1090ms) jev=pricing(348ms)
r1 s24 expected=pricing jev=pricing(350ms) llm=pricing(940ms)
r1 s25 expected=pricing llm=pricing(1033ms) jev=pricing(461ms)
r1 s26 expected=group_size jev=group_size(387ms) llm=group_size(812ms)
r1 s27 expected=group_size llm=group_size(1012ms) jev=group_size(369ms)
r1 s28 expected=group_size jev=group_size(335ms) llm=group_size(1411ms)
r1 s29 expected=group_size llm=group_size(1016ms) jev=group_size(349ms)
r1 s30 expected=group_size jev=group_size(365ms) llm=group_size(1121ms)
r1 s31 expected=late_arrival llm=late_arrival(1197ms) jev=late_arrival(417ms)
r1 s32 expected=late_arrival jev=late_arrival(431ms) llm=late_arrival(1027ms)
r1 s33 expected=late_arrival llm=late_arrival(1650ms) jev=late_arrival(588ms)
r1 s34 expected=late_arrival jev=late_arrival(433ms) llm=late_arrival(2091ms)
r1 s35 expected=late_arrival llm=late_arrival(911ms) jev=late_arrival(678ms)
r1 s36 expected=weather jev=weather(459ms) llm=weather(3301ms)
r1 s37 expected=weather llm=weather(1635ms) jev=weather(533ms)
r1 s38 expected=weather jev=weather(324ms) llm=weather(1544ms)
r1 s39 expected=weather llm=weather(1383ms) jev=weather(365ms)
r1 s40 expected=weather jev=weather(606ms) llm=weather(1174ms)
r1 h01 expected=reschedule llm=reschedule(1055ms) jev=reschedule(363ms)
r1 h02 expected=weather jev=weather(363ms) llm=refund(1147ms)
r1 h03 expected=other llm=other(1271ms) jev=other(548ms)
r1 h04 expected=other jev=other(520ms) llm=other(948ms)
r1 h05 expected=late_arrival llm=late_arrival(1256ms) jev=late_arrival(421ms)
r1 h06 expected=group_size jev=group_size(351ms) llm=group_size(1021ms)
r1 h07 expected=other llm=other(1455ms) jev=reschedule(420ms)
r1 h08 expected=other jev=other(596ms) llm=other(1188ms)
r1 h09 expected=other llm=other(1510ms) jev=other(534ms)
r1 h10 expected=weather jev=weather(356ms) llm=refund(936ms)
r1 h11 expected=refund llm=refund(1301ms) jev=refund(453ms)
r1 h12 expected=late_arrival jev=late_arrival(511ms) llm=late_arrival(1303ms)
r1 h13 expected=reschedule llm=reschedule(1351ms) jev=reschedule(521ms)
r1 h14 expected=other jev=other(580ms) llm=other(1114ms)
r1 h15 expected=reschedule llm=late_arrival(1366ms) jev=late_arrival(368ms)
r1 h16 expected=pricing jev=pricing(432ms) llm=group_size(1120ms)
r1 h17 expected=weather llm=weather(920ms) jev=weather(341ms)
r1 h18 expected=reschedule jev=reschedule(346ms) llm=reschedule(907ms)
r1 h19 expected=location llm=location(1209ms) jev=location(340ms)
r1 h20 expected=cancel jev=cancel(340ms) llm=cancel(1126ms)
r2 s01 expected=reschedule jev=reschedule(405ms) llm=reschedule(875ms)
r2 s02 expected=reschedule llm=reschedule(1356ms) jev=reschedule(425ms)
r2 s03 expected=reschedule jev=reschedule(345ms) llm=reschedule(911ms)
r2 s04 expected=reschedule llm=reschedule(1100ms) jev=reschedule(503ms)
r2 s05 expected=reschedule jev=reschedule(382ms) llm=reschedule(1594ms)
r2 s06 expected=cancel llm=cancel(1414ms) jev=cancel(338ms)
r2 s07 expected=cancel jev=cancel(321ms) llm=cancel(1793ms)
r2 s08 expected=cancel llm=cancel(2075ms) jev=cancel(344ms)
r2 s09 expected=cancel jev=cancel(379ms) llm=cancel(1099ms)
r2 s10 expected=cancel llm=cancel(1514ms) jev=cancel(348ms)
r2 s11 expected=refund jev=refund(353ms) llm=refund(962ms)
r2 s12 expected=refund llm=refund(1504ms) jev=refund(372ms)
r2 s13 expected=refund jev=refund(382ms) llm=refund(1314ms)
r2 s14 expected=refund llm=refund(1469ms) jev=refund(321ms)
r2 s15 expected=refund jev=refund(327ms) llm=refund(1025ms)
r2 s16 expected=location llm=location(1365ms) jev=location(347ms)
r2 s17 expected=location jev=location(388ms) llm=location(1147ms)
r2 s18 expected=location llm=location(1063ms) jev=location(648ms)
r2 s19 expected=location jev=location(322ms) llm=location(1120ms)
r2 s20 expected=location llm=location(2511ms) jev=location(345ms)
r2 s21 expected=pricing jev=pricing(335ms) llm=pricing(1297ms)
r2 s22 expected=pricing llm=pricing(1392ms) jev=pricing(357ms)
r2 s23 expected=pricing jev=pricing(518ms) llm=pricing(1183ms)
r2 s24 expected=pricing llm=pricing(1667ms) jev=pricing(309ms)
r2 s25 expected=pricing jev=pricing(456ms) llm=pricing(1058ms)
r2 s26 expected=group_size llm=group_size(1447ms) jev=group_size(364ms)
r2 s27 expected=group_size jev=group_size(373ms) llm=group_size(1327ms)
r2 s28 expected=group_size llm=group_size(1346ms) jev=group_size(375ms)
r2 s29 expected=group_size jev=group_size(433ms) llm=group_size(1379ms)
r2 s30 expected=group_size llm=group_size(1143ms) jev=group_size(445ms)
r2 s31 expected=late_arrival jev=late_arrival(569ms) llm=late_arrival(1329ms)
r2 s32 expected=late_arrival llm=late_arrival(1336ms) jev=late_arrival(540ms)
r2 s33 expected=late_arrival jev=late_arrival(372ms) llm=late_arrival(1350ms)
r2 s34 expected=late_arrival llm=late_arrival(1219ms) jev=late_arrival(366ms)
r2 s35 expected=late_arrival jev=late_arrival(516ms) llm=late_arrival(1055ms)
r2 s36 expected=weather llm=weather(1401ms) jev=weather(306ms)
r2 s37 expected=weather jev=weather(382ms) llm=weather(933ms)
r2 s38 expected=weather llm=weather(1418ms) jev=weather(314ms)
r2 s39 expected=weather jev=weather(479ms) llm=weather(1103ms)
r2 s40 expected=weather llm=weather(1261ms) jev=weather(322ms)
r2 h01 expected=reschedule jev=reschedule(457ms) llm=reschedule(1109ms)
r2 h02 expected=weather llm=refund(1319ms) jev=weather(336ms)
r2 h03 expected=other jev=other(380ms) llm=other(1338ms)
r2 h04 expected=other llm=other(1150ms) jev=other(329ms)
r2 h05 expected=late_arrival jev=late_arrival(386ms) llm=late_arrival(1372ms)
r2 h06 expected=group_size llm=group_size(1204ms) jev=group_size(370ms)
r2 h07 expected=other jev=reschedule(328ms) llm=other(1459ms)
r2 h08 expected=other llm=other(1867ms) jev=other(380ms)
r2 h09 expected=other jev=other(480ms) llm=other(1208ms)
r2 h10 expected=weather llm=refund(1108ms) jev=weather(544ms)
r2 h11 expected=refund jev=refund(623ms) llm=refund(1390ms)
r2 h12 expected=late_arrival llm=late_arrival(1025ms) jev=late_arrival(347ms)
r2 h13 expected=reschedule jev=reschedule(397ms) llm=reschedule(1056ms)
r2 h14 expected=other llm=other(2332ms) jev=other(479ms)
r2 h15 expected=reschedule jev=late_arrival(478ms) llm=late_arrival(1127ms)
r2 h16 expected=pricing llm=group_size(1326ms) jev=pricing(428ms)
r2 h17 expected=weather jev=weather(473ms) llm=weather(1074ms)
